iter	Passed	Remaining
688	2349	1060
689	2351	1056
690	2355	1053
691	2358	1049
692	2361	1046
693	2364	1042
694	2368	1039
695	2372	1036
696	2375	1032
697	2379	1029
698	2382	1025
699	2385	1022
700	2388	1018
701	2392	1015
702	2395	1011
703	2398	1008
704	2401	1004
705	2404	1001
706	2407	997
707	2410	994
708	2413	990
709	2416	987
710	2419	983
711	2422	979
712	2425	976
713	2429	973
714	2433	969
715	2436	966
716	2439	962
717	2442	959
718	2446	956
719	2449	952
720	2452	949
721	2456	945
722	2459	942
723	2463	938
724	2466	935
725	2469	931
726	2472	928
727	2475	924
728	2478	921
729	2481	917
730	2484	914
731	2487	910
732	2491	907
733	2494	903
734	2497	900
735	2502	897
736	2505	893
737	2509	890
738	2512	887
739	2515	883
740	2519	880
741	2522	877
742	2525	873
743	2527	869
744	2531	866
745	2534	862
746	2537	859
747	2540	855
748	2543	852
749	2551	850
750	2555	847
751	2558	843
752	2562	840
753	2564	836
754	2567	833
755	2570	829
756	2573	826
757	2576	822
758	2579	818
759	2581	815
760	2584	811
761	2588	808
762	2591	804
763	2594	801
764	2597	797
765	2600	794
766	2603	791
767	2606	787
768	2610	784
769	2614	780
770	2618	777
771	2621	774
772	2626	771
773	2630	768
774	2633	764
775	2636	761
776	2639	757
777	2643	754
778	2646	750
779	2650	747
780	2653	744
781	2656	740
782	2659	737
783	2662	733
784	2665	730
785	2668	726
786	2672	723
787	2676	719
788	2678	716
789	2682	712
790	2685	709
791	2688	706
792	2691	702
793	2694	699
794	2697	695
795	2701	692
796	2704	688
797	2707	685
798	2710	681
799	2713	678
800	2716	674
801	2719	671
802	2722	667
803	2725	664
804	2728	660
805	2731	657
806	2735	654
807	2738	650
808	2742	647
809	2746	644
810	2749	640
811	2755	638
812	2759	634
813	2762	631
814	2765	627
815	2768	624
816	2771	620
817	2774	617
818	2777	613
819	2780	610
820	2783	606
821	2786	603
822	2790	600
823	2793	596
824	2796	593
825	2799	589
826	2803	586
827	2806	582
828	2808	579
829	2811	575
830	2814	572
831	2817	568
832	2820	565
833	2824	562
834	2826	558
835	2829	555
836	2832	551
837	2836	548
838	2839	544
839	2842	541
840	2845	537
841	2848	534
842	2851	531
843	2854	527
844	2857	524
845	2860	520
846	2864	517
847	2867	513
848	2870	510
849	2873	507
850	2877	503
851	2880	500
852	2883	497
853	2887	493
854	2890	490
855	2893	486
856	2897	483
857	2900	480
858	2904	476
859	2907	473
860	2909	469
861	2913	466
862	2917	463
863	2920	459
864	2923	456
865	2926	452
866	2929	449
867	2931	445
868	2934	442
869	2937	438
870	2940	435
871	2942	431
872	2945	428
873	2948	425
874	2951	421
875	2954	418
876	2957	414
877	2961	411
878	2964	408
879	2966	404
880	2970	401
881	2972	397
882	2975	394
883	2978	390
884	2981	387
885	2984	384
886	2987	380
887	2990	377
888	2993	373
889	2996	370
890	2999	367
891	3002	363
892	3005	360
893	3008	356
894	3011	353
895	3014	349
896	3017	346
897	3020	343
898	3023	339
899	3026	336
900	3029	332
901	3033	329
902	3036	326
903	3040	322
904	3042	319
905	3045	315
906	3048	312
907	3051	309
908	3054	305
909	3056	302
910	3059	298
911	3063	295
912	3065	292
913	3068	288
914	3071	285
915	3074	281
916	3077	278
917	3079	275
918	3082	271
919	3085	268
920	3088	264
921	3091	261
922	3094	258
923	3097	254
924	3100	251
925	3103	247
926	3106	244
927	3109	241
928	3111	237
929	3115	234
930	3118	231
931	3121	227
932	3125	224
933	3128	221
934	3131	217
935	3135	214
936	3138	211
937	3141	207
938	3144	204
939	3147	200
940	3150	197
941	3153	194
942	3158	190
943	3162	187
944	3165	184
945	3168	180
946	3172	177
947	3175	174
948	3179	170
949	3182	167
950	3185	164
951	3189	160
952	3192	157
953	3194	154
954	3198	150
955	3201	147
956	3205	144
957	3208	140
958	3211	137
959	3215	133
960	3218	130
961	3221	127
962	3224	123
963	3227	120
964	3230	117
965	3233	113
966	3236	110
967	3240	107
968	3243	103
969	3247	100
970	3251	97
971	3260	93
972	3263	90
973	3266	87
974	3269	83
975	3273	80
976	3276	77
977	3279	73
978	3282	70
979	3285	67
980	3288	63
981	3293	60
982	3296	57
983	3299	53
984	3302	50
985	3305	46
986	3308	43
987	3312	40
988	3315	36
989	3317	33
990	3321	30
991	3326	26
992	3329	23
993	3332	20
994	3335	16
995	3338	13
996	3342	10
997	3345	6
998	3348	3
999	3351	0
