iter	Logloss
0	0.6521331124
1	0.6126828401
2	0.5785436216
3	0.5476415883
4	0.5197519717
5	0.4935960853
6	0.4674036109
7	0.4448624321
8	0.4223789713
9	0.4036089026
10	0.381918733
11	0.3658741827
12	0.3468632905
13	0.3333273846
14	0.3220524
15	0.3112256589
16	0.3001371301
17	0.2887830983
18	0.2804477194
19	0.272846819
20	0.2624182826
21	0.2530909994
22	0.2468335027
23	0.2394696111
24	0.2338767342
25	0.2291884381
26	0.2248425028
27	0.2181316707
28	0.2149271758
29	0.2089459295
30	0.2054794643
31	0.201890564
32	0.1965742858
33	0.1927255216
34	0.1900167051
35	0.1853330198
36	0.182966365
37	0.179664446
38	0.1752586696
39	0.1723278046
40	0.1697184687
41	0.1658209428
42	0.1636493185
43	0.1622211954
44	0.1601435122
45	0.1571133489
46	0.1544871786
47	0.1521830351
48	0.1511169102
49	0.148376697
50	0.1465848674
51	0.1455753326
52	0.1435140859
53	0.141131824
54	0.1397242007
55	0.1373720667
56	0.1355734535
57	0.1338120004
58	0.1320880061
59	0.1308999766
60	0.1286341543
61	0.1272869027
62	0.1256469063
63	0.1247302677
64	0.1228908373
65	0.1221695444
66	0.1213073399
67	0.1198619013
68	0.1183259881
69	0.1167825284
70	0.1159317265
71	0.1144515162
72	0.1128900279
73	0.1114939814
74	0.1100266996
75	0.1085846611
76	0.1078561368
77	0.1070821016
78	0.1055321901
79	0.1045522441
80	0.1035446416
81	0.1028797316
82	0.1017077653
83	0.1008709286
84	0.1000748344
85	0.09910236027
86	0.09818592901
87	0.09732496842
88	0.09700729536
89	0.09622256238
90	0.0955029612
91	0.09464011814
92	0.09373644124
93	0.09332958719
94	0.09270060166
95	0.09199275141
96	0.09117670474
97	0.09049722423
98	0.08994750977
99	0.08954403089
100	0.08857244409
101	0.08785997474
102	0.08712032152
103	0.08663650181
104	0.08595211195
105	0.08540649414
106	0.08510926288
107	0.08444480896
108	0.08328033116
109	0.08283887117
110	0.08218571207
111	0.08169840937
112	0.08114468118
113	0.08046853439
114	0.07975030982
115	0.07948955038
116	0.07879646965
117	0.07832493989
118	0.07814284615
119	0.07735736681
120	0.07710695681
121	0.07645814315
122	0.07587303493
123	0.0755377728
124	0.07503855332
125	0.07429827815
126	0.07349734099
127	0.0730149974
128	0.07232070591
129	0.0718696926
130	0.07118828815
131	0.07100232166
132	0.07051598093
133	0.069949714
134	0.06941914351
135	0.06903163246
136	0.06876030798
137	0.06813034389
138	0.06773577151
139	0.06743667437
140	0.06687700437
141	0.06642355712
142	0.06563408893
143	0.06510869731
144	0.06470205888
145	0.06444326898
146	0.06409370174
147	0.06362854916
148	0.06324962118
149	0.06278345689
150	0.06243499673
151	0.06187140423
152	0.06158498681
153	0.06130368606
154	0.06095129511
155	0.06070571568
156	0.06048492763
157	0.06010209788
158	0.05977415831
159	0.05934373607
160	0.05925483704
161	0.05873913143
162	0.05835153331
163	0.05802919139
164	0.05760150992
165	0.05732940176
166	0.05715793941
167	0.05687549425
168	0.05640355815
169	0.05608301992
170	0.05573655833
171	0.05539363778
172	0.05515120962
173	0.05481912364
174	0.05462683802
175	0.0541889937
176	0.05392211002
177	0.05374872788
178	0.05362567487
179	0.05324653543
180	0.05299010484
181	0.05279686555
182	0.05243378515
183	0.05200841323
184	0.0516111291
185	0.05134684936
186	0.05094937864
187	0.05063191289
188	0.050232908
189	0.04987374181
190	0.04954875448
191	0.04937623895
192	0.04906297767
193	0.04873430003
194	0.04845808693
195	0.04812866709
196	0.04795961795
197	0.04771191141
198	0.04750744364
199	0.04726331545
200	0.04679826654
201	0.04646802156
202	0.04608382349
203	0.04577661597
204	0.04547051969
205	0.04520640166
206	0.04484179953
207	0.04452464477
208	0.04429077066
209	0.04393808945
210	0.0436954208
211	0.04353325885
212	0.04332734813
213	0.04290743289
214	0.04261515244
215	0.04229528593
216	0.04206721264
